Pilotos,Nacionalidade,Temporadas,Titulos,Participacao,Largadas,Pole_Positions,Vitorias,Podio,Volta_rapida,Pontos,Ano_titulo,Taxa_pole,Taxa_largadas,Taxa_Vitoria,Taxa_podio,Taxa_volta_rapida,Pontos_largadas,Campeao,Pilotos_1,Idade,Data_acidente,Corrida,Equipe,Evento,Circuito,Nacionalidade_pt
Jochen Rindt,Austria,"[1964, 1965, 1966, 1967, 1968, 1969, 1970]",1,62,60,10,6,13,3,107,[1970]                                                                                                                                                                                                                                                         ,0.16,0.97,0.1,0.21,0.05,1.73,True,Jochen Rindt                                                                                                                                                                                                                                                   ,28,09/05/70                                                                                                                                                                                                                                                       ,Italian Grand Prix,Lotus,Qualifying,Italian Grand Prix,Áustria
Jody Scheckter,South Africa,"[1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980]",1,113,112,3,10,33,5,246,[1979]                                                                                                                                                                                                                                                         ,0.03,0.99,0.09,0.29,0.04,2.18,True,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,África do Sul
Joe Fry,United Kingdom,[1950],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Joe James,United States,"[1951, 1952]",0,3,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.67,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Joe Kelly,Ireland,"[1950, 1951]",0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Irlanda
John Barber,United Kingdom,[1953],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
John Campbell-Jones,United Kingdom,"[1962, 1963]",0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
John Cannon,Canada,[1971],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Canadá
John Cordts,Canada,[1969],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Canadá
Nan,,,0,0,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,,,,,,,,John Dawson-Damer                                                                                                                                                                                                                                              ,59,06/24/00                                                                                                                                                                                                                                                       ,Goodwood Festival of Speed,Lotus,Demonstration,Goodwood Festival Of Speed,
John Fitch,United States,"[1953, 1955]",0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
John James,United Kingdom,[1951],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
John Love,Rhodesia,"[1962, 1963, 1964, 1965, 1967, 1968, 1969, 1970, 1971, 1972]",0,10,9,0,0,1,0,6,                                                                                                                                                                                                                                                               ,0.0,0.9,0.0,0.1,0.0,0.6,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Rodésia
John Miles,United Kingdom,"[1969, 1970]",0,15,12,0,0,0,0,2,                                                                                                                                                                                                                                                               ,0.0,0.8,0.0,0.0,0.0,0.13,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
John Nicholson,New Zealand,"[1974, 1975]",0,2,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.5,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Nova Zelândia
John Rhodes,United Kingdom,[1965],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
John Riseley-Prichard,United Kingdom,[1954],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
John Surtees,United Kingdom,"[1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972]",1,113,111,8,6,24,10,180,[1964]                                                                                                                                                                                                                                                         ,0.07,0.98,0.05,0.21,0.09,1.59,True,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
John Taylor,United Kingdom,"[1964, 1966]",0,5,5,0,0,0,0,1,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.2,False,John Taylor                                                                                                                                                                                                                                                    ,33,08/07/66                                                                                                                                                                                                                                                       ,German Grand Prix,Brabham,Race,German Grand Prix,Reino Unido
John Watson,United Kingdom,"[1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1985]",0,154,152,2,5,20,5,169,                                                                                                                                                                                                                                                               ,0.01,0.99,0.03,0.13,0.03,1.1,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Johnnie Parsons,United States,"[1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958]",0,9,9,0,1,1,1,12,                                                                                                                                                                                                                                                               ,0.0,1.0,0.11,0.11,0.11,1.33,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Johnnie Tolan,United States,"[1956, 1957, 1958]",0,7,3,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.43,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Johnny Boyd,United States,"[1955, 1956, 1957, 1958, 1959, 1960]",0,6,6,0,0,1,0,4,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.17,0.0,0.67,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Johnny Cecotto,Venezuela,"[1983, 1984]",0,23,18,0,0,0,0,1,                                                                                                                                                                                                                                                               ,0.0,0.78,0.0,0.0,0.0,0.04,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Venezuela
Johnny Claes,Belgium,"[1950, 1951, 1952, 1953, 1955]",0,25,23,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.92,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Bélgica
Johnny Dumfries,United Kingdom,[1986],0,16,15,0,0,0,0,3,                                                                                                                                                                                                                                                               ,0.0,0.94,0.0,0.0,0.0,0.19,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Johnny Herbert,United Kingdom,"[1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000]",0,165,160,0,3,7,0,98,                                                                                                                                                                                                                                                               ,0.0,0.97,0.02,0.04,0.0,0.59,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Johnny Mantz,United States,[1953],0,1,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Johnny Mcdowell,United States,"[1950, 1951, 1952]",0,3,3,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Johnny Servoz-Gavin,France,"[1967, 1968, 1969, 1970]",0,13,12,0,0,1,0,9,                                                                                                                                                                                                                                                               ,0.0,0.92,0.0,0.08,0.0,0.69,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,França
Johnny Thomson,United States,"[1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960]",0,8,8,1,0,1,1,10,                                                                                                                                                                                                                                                               ,0.12,1.0,0.0,0.12,0.12,1.25,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Joie Chitwood,United States,[1950],0,1,1,0,0,0,0,1,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,1.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Jolyon Palmer,United Kingdom,"[2016, 2017]",0,37,35,0,0,0,0,9,                                                                                                                                                                                                                                                               ,0.0,0.95,0.0,0.0,0.0,0.24,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Jonathan Palmer,United Kingdom,"[1983, 1984, 1985, 1986, 1987, 1988, 1989]",0,88,83,0,0,0,1,14,                                                                                                                                                                                                                                                               ,0.0,0.94,0.0,0.0,0.01,0.16,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Jonathan Williams,United Kingdom,[1967],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Jorge Daponte,Argentina,[1954],0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Argentina
Jos Verstappen,Netherlands,"[1994, 1995, 1996, 1997, 1998, 2000, 2001, 2003]",0,107,106,0,0,2,0,17,                                                                                                                                                                                                                                                               ,0.0,0.99,0.0,0.02,0.0,0.16,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Países Baixos
Josef Peters,West Germany,[1952],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Alemanha Ocidental
José Dolhem,France,[1974],0,3,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.33,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,França
José Froilán González,Argentina,"[1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1960]",0,26,26,3,2,15,6,72,                                                                                                                                                                                                                                                               ,0.12,1.0,0.08,0.58,0.23,2.77,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Argentina
Juan Jover,Spain,[1951],0,1,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Espanha
Juan Manuel Bordeu,Argentina,[1961],0,1,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Argentina
Juan Manuel Fangio,Argentina,"[1950, 1951, 1953, 1954, 1955, 1956, 1957, 1958]",5,52,51,29,24,35,23,245,"[1951, 1954, 1955, 1956, 1957]                                                                                                                                                                                                                                 ",0.56,0.98,0.46,0.67,0.44,4.71,True,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Argentina
Juan Pablo Montoya,Colombia,"[2001, 2002, 2003, 2004, 2005, 2006]",0,95,94,13,7,30,12,307,                                                                                                                                                                                                                                                               ,0.14,0.99,0.07,0.32,0.13,3.23,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Colômbia
Jud Larson,United States,"[1958, 1959]",0,5,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.4,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Jules Bianchi,France,"[2013, 2014]",0,34,34,0,0,0,0,2,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.06,False,Jules Bianchi                                                                                                                                                                                                                                                  ,25,10/05/14                                                                                                                                                                                                                                                       ,Japanese Grand Prix,Marussia,Race,Japanese Grand Prix,França
Julian Bailey,United Kingdom,"[1988, 1991]",0,20,7,0,0,0,0,1,                                                                                                                                                                                                                                                               ,0.0,0.35,0.0,0.0,0.0,0.05,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Justin Wilson,United Kingdom,[2003],0,16,16,0,0,0,0,1,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.06,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Jérôme D'Ambrosio,Belgium,"[2011, 2012]",0,20,20,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Bélgica
Kamui Kobayashi,Japan,"[2009, 2010, 2011, 2012, 2014]",0,76,75,0,0,1,1,125,                                                                                                                                                                                                                                                               ,0.0,0.99,0.0,0.01,0.01,1.64,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Japão
Karl Kling,West Germany,"[1954, 1955]",0,11,11,0,0,2,1,17,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.18,0.09,1.55,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Alemanha Ocidental
